Model,Sales_in_thousands,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity
Grand Cherokee,157.04,26.895,4,195,105.9,72.3,181.5,3.88,20.5
ES300,24.072,31.505,3,210,105.1,70.5,190.2,3.373,18.5
GS300,12.698,37.805,3,225,110.2,70.9,189.2,3.638,19.8
GS400,3.334,46.305,4,300,110.2,70.9,189.2,3.693,19.8
LS400,6.375,54.005,4,290,112.2,72,196.7,3.89,22.5
LX470,9.126,60.105,4.7,230,112.2,76.4,192.5,5.401,25.4
RX300,51.238,34.605,3,220,103,71.5,180.1,3.9,17.2
Continental,13.798,39.08,4.6,275,109,73.6,208.5,3.868,20
Town car,48.911,43.33,4.6,215,117.7,78.2,215.3,4.121,19
Navigator,22.925,42.66,5.4,300,119,79.9,204.8,5.393,30
Mirage,26.232,13.987,1.8,113,98.4,66.5,173.6,2.25,13.2
Eclipse,42.541,19.047,2.4,154,100.8,68.9,175.4,2.91,15.9
Galant,55.616,17.357,2.4,145,103.7,68.5,187.8,2.945,16.3
Diamante,5.711,24.997,3.5,210,107.1,70.3,194.1,3.443,19
3000GT,0.11,25.45,3,161,97.2,72.4,180.3,3.131,19.8
Montero,11.337,31.807,3.5,200,107.3,69.9,186.6,4.52,24.3
Montero Sport,39.348,22.527,3,173,107.3,66.7,178.3,3.51,19.5
Mystique,14.351,16.24,2,125,106.5,69.1,184.8,2.769,15
Cougar,26.529,16.54,2,125,106.4,69.6,185,2.892,16
Sable,67.956,19.035,3,153,108.5,73,199.7,3.379,16
Grand Marquis,81.174,22.605,4.6,200,114.7,78.2,212,3.958,19
Mountaineer,27.609,27.56,4,210,111.6,70.2,190.1,3.876,21
Villager,20.38,22.51,3.3,170,112.2,74.9,194.7,3.944,20
C-Class,18.392,31.75,2.3,185,105.9,67.7,177.4,3.25,16.4
E-Class,27.602,49.9,3.2,221,111.5,70.8,189.4,3.823,21.1
S-Class,16.774,69.7,4.3,275,121.5,73.1,203.1,4.133,23.2
SL-Class,3.311,82.6,5,302,99,71.3,177.1,4.125,21.1
SLK,7.998,38.9,2.3,190,94.5,67.5,157.9,3.055,15.9
SLK230,1.526,41,2.3,185,94.5,67.5,157.3,2.975,14
CLK Coupe,11.592,41.6,3.2,215,105.9,67.8,180.3,3.213,16.4
CL500,0.954,85.5,5,302,113.6,73.1,196.6,4.115,23.2
M-Class,28.976,35.3,3.2,215,111,72.2,180.6,4.387,19
Sentra,42.643,13.499,1.8,126,99.8,67.3,177.5,2.593,13.2
Altima,88.094,20.39,2.4,155,103.1,69.1,183.5,3.012,15.9
Maxima,79.853,26.249,3,222,108.3,70.3,190.5,3.294,18.5
Quest,27.308,26.399,3.3,170,112.2,74.9,194.8,3.991,20
Pathfinder,42.574,29.299,3.3,170,106.3,71.7,182.6,3.947,21
Xterra,54.158,22.799,3.3,170,104.3,70.4,178,3.821,19.4
Frontier,65.005,17.89,3.3,170,116.1,66.5,196.1,3.217,19.4
Cutlass,1.112,18.145,3.1,150,107,69.4,192,3.102,15.2
Intrigue,38.554,24.15,3.5,215,109,73.6,195.9,3.455,18
